filename,group,study,ntips,dated
condamine_Macroscelididae.nwk,condamine_Macroscelididae,Condamine 2019,15,TRUE
condamine_Mephitidae.nwk,condamine_Mephitidae,Condamine 2019,12,TRUE
condamine_Molossidae.nwk,condamine_Molossidae,Condamine 2019,98,TRUE
condamine_Muridae.nwk,condamine_Muridae,Condamine 2019,680,TRUE
condamine_Mustelidae.nwk,condamine_Mustelidae,Condamine 2019,59,TRUE
condamine_Nesomyidae.nwk,condamine_Nesomyidae,Condamine 2019,55,TRUE
condamine_Nycteridae.nwk,condamine_Nycteridae,Condamine 2019,16,TRUE
condamine_Ochotonidae.nwk,condamine_Ochotonidae,Condamine 2019,28,TRUE
condamine_Octodontidae.nwk,condamine_Octodontidae,Condamine 2019,10,TRUE
condamine_Otariidae.nwk,condamine_Otariidae,Condamine 2019,16,TRUE
condamine_Peramelidae.nwk,condamine_Peramelidae,Condamine 2019,17,TRUE
condamine_Petauridae.nwk,condamine_Petauridae,Condamine 2019,11,TRUE
condamine_Phalangeridae.nwk,condamine_Phalangeridae,Condamine 2019,22,TRUE
condamine_Phocidae.nwk,condamine_Phocidae,Condamine 2019,18,TRUE
condamine_Phyllostomidae.nwk,condamine_Phyllostomidae,Condamine 2019,150,TRUE
condamine_Pitheciidae.nwk,condamine_Pitheciidae,Condamine 2019,37,TRUE
condamine_Procyonidae.nwk,condamine_Procyonidae,Condamine 2019,14,TRUE
condamine_Pseudocheiridae.nwk,condamine_Pseudocheiridae,Condamine 2019,16,TRUE
condamine_Pteropodidae.nwk,condamine_Pteropodidae,Condamine 2019,174,TRUE
condamine_Rhinolophidae.nwk,condamine_Rhinolophidae,Condamine 2019,73,TRUE
condamine_Sciuridae.nwk,condamine_Sciuridae,Condamine 2019,276,TRUE
condamine_Soricidae.nwk,condamine_Soricidae,Condamine 2019,329,TRUE
condamine_Spalacidae.nwk,condamine_Spalacidae,Condamine 2019,31,TRUE
condamine_Suidae.nwk,condamine_Suidae,Condamine 2019,18,TRUE
condamine_Talpidae.nwk,condamine_Talpidae,Condamine 2019,39,TRUE
condamine_Tenrecidae.nwk,condamine_Tenrecidae,Condamine 2019,25,TRUE
condamine_Tupaiidae.nwk,condamine_Tupaiidae,Condamine 2019,19,TRUE
condamine_Vespertilionidae.nwk,condamine_Vespertilionidae,Condamine 2019,386,TRUE
condamine_Viverridae.nwk,condamine_Viverridae,Condamine 2019,34,TRUE
condamine_Ziphiidae.nwk,condamine_Ziphiidae,Condamine 2019,20,TRUE
condamine_Chamaeleonidae.nwk,condamine_Chamaeleonidae,Condamine 2019,142,TRUE
condamine_Colubridae.nwk,condamine_Colubridae,Condamine 2019,539,TRUE
condamine_Cordylidae.nwk,condamine_Cordylidae,Condamine 2019,42,TRUE
condamine_Crotaphytidae.nwk,condamine_Crotaphytidae,Condamine 2019,11,TRUE
condamine_Gerrhosauridae.nwk,condamine_Gerrhosauridae,Condamine 2019,28,TRUE
condamine_Iguanidae.nwk,condamine_Iguanidae,Condamine 2019,31,TRUE
condamine_Phrynosomatidae.nwk,condamine_Phrynosomatidae,Condamine 2019,114,TRUE
condamine_Pythonidae.nwk,condamine_Pythonidae,Condamine 2019,26,TRUE
condamine_Varanidae.nwk,condamine_Varanidae,Condamine 2019,53,TRUE
condamine_Viperidae.nwk,condamine_Viperidae,Condamine 2019,209,TRUE
condamine_Xantusiidae.nwk,condamine_Xantusiidae,Condamine 2019,26,TRUE
bryozoa.nwk,bryozoa,Orr 2023,720,FALSE
frogs.nwk,frogs,Portik 2023,5326,TRUE
